Primary Breed,Description,LeeListing,Num2011,Num2013,Num2015
SHILOH SHEPHERD,Shiloh Sherherd,.na,1,0,1
SIBERIAN HUSKY,Siberian Husky,Siberian Husky,1146,1093,1294
SILKY TERRIER,Silky Terrier,.na,45,42,34
SKYE TERRIER,Skye Terrier,Skye Terrier,9,4,3
SC WHEAT TERR,Soft-Coated Wheaten Terrier,.na,835,715,668
SPANISH MASTIFF,Spanish Mastiff,.na,0,1,2
SPANISH WATER DOG,Spanish Water Dog,.na,2,3,5
SPINONE ITALIANO,Spinone Italiano,.na,12,12,13
SPRINGER SPANIEL,Springer Spaniel,.na,1,1,2
ST BERNARD RC,St Bernard - Rough Coated,Saint Bernard,19,20,15
ST BERNARD SC,St Bernard - Smooth Coated,Saint Bernard,42,36,32
STAFFORDSHIRE BT,Staffordshire Bull Terrier,Staffordshire Bull Terrier,179,115,79
SUSSEX SPANIEL,Sussex Spaniel,.na,2,1,1
SWEDISH VALLHUND,Swedish Vallhund,.na,5,4,5
SWISS HOUND,Swiss Hound,.na,7,5,1
TENN TREE BRIN HD,Tennesee Treeing Brindle Hound,.na,1,0,1
TERRIER,Terrier,.na,142,140,144
TIBETAN MASTIFF,Tibetan Mastiff,.na,10,13,19
TIBETAN SPANIEL,Tibetan Spaniel,Tibetan Spaniel,33,26,29
TIBETAN TERRIER,Tibetan Terrier,Tibetan Terrier,68,53,52
TOSA,Tosa,.na,2,4,1
TOY FOX TERRIER,Toy Fox Terrier,.na,25,19,21
TREE WALKER CH,Treeing Walker Coonhound,.na,42,52,50
VIZSLA,Vizsla,Vizsla,263,244,264
WEIMARANER,Weimaraner,Weimaraner,235,220,190
WELSH CORGI CARIGAN,Welsh Corgi - Cardigan,Cardigan Welsh Corgi,63,55,75
WELSH CORGI PEMBROKE,Welsh Corgi - Pembroke,.na,107,107,120
WELSH SPR SPAN,Welsh Springer Spaniel,Welsh Springer Spaniel,28,25,25
WELSH TERRIER,Welsh Terrier,Welsh Terrier,56,51,53
WEST HIGHLAND WT,West Highland White Terrier,West Highland White Terrier,703,622,611
WHIPPET,Whippet,Whippet,153,161,179
WIRE HAIRED PT GRIFFON,Wire-haired Pointing Griffon,Wirehaired Pointing Griffon,15,13,15
WOLF HYBRID,Wolf hybrid,.na,0,0,2
YORKSHIRE TERR,Yorkshire Terrier,Yorkshire Terrier,1793,1658,1837
